numconfirmed,prediction,province,date
428,398,Nova Scotia,27
445,398,Nova Scotia,28
474,398,Nova Scotia,29
517,398,Nova Scotia,30
549,398,Nova Scotia,31
579,398,Nova Scotia,32
606,398,Nova Scotia,33
606,398,Nova Scotia,34
112,111,New Brunswick,27
114,111,New Brunswick,28
116,111,New Brunswick,29
116,111,New Brunswick,30
117,111,New Brunswick,31
117,111,New Brunswick,32
117,111,New Brunswick,33
117,111,New Brunswick,34
12292,11466,Quebec,27
12846,11466,Quebec,28
13557,11466,Quebec,29
14248,11466,Quebec,30
14860,11466,Quebec,31
15857,11466,Quebec,32
16798,11466,Quebec,33
16798,11466,Quebec,34
6648,6138,Ontario,27
7049,6138,Ontario,28
7470,6138,Ontario,29
7953,6138,Ontario,30
8447,6138,Ontario,31
8961,6138,Ontario,32
9525,6138,Ontario,33
10010,6138,Ontario,34
243,226,Manitoba,27
242,226,Manitoba,28
246,226,Manitoba,29
246,226,Manitoba,30
246,226,Manitoba,31
250,226,Manitoba,32
250,226,Manitoba,33
250,226,Manitoba,34
289,277,Saskatchewan,27
298,277,Saskatchewan,28
300,277,Saskatchewan,29
301,277,Saskatchewan,30
304,277,Saskatchewan,31
305,277,Saskatchewan,32
307,277,Saskatchewan,33
307,277,Saskatchewan,34
1569,1483,Alberta,27
1651,1483,Alberta,28
1732,1483,Alberta,29
1870,1483,Alberta,30
1996,1483,Alberta,31
2158,1483,Alberta,32
2397,1483,Alberta,33
2397,1483,Alberta,34
8,8,Yukon,27
8,8,Yukon,28
8,8,Yukon,29
8,8,Yukon,30
8,8,Yukon,31
8,8,Yukon,32
9,8,Yukon,33
9,8,Yukon,34
