numconfirmed,prediction,province,days,numtested
428,315,Nova Scotia,27,14511
445,1770,Nova Scotia,28,15329
474,1770,Nova Scotia,29,16548
517,1770,Nova Scotia,30,17477
549,1770,Nova Scotia,31,18245
579,1944,Nova Scotia,32,19239
606,1944,Nova Scotia,33,20432
606,1944,Nova Scotia,34,21363
112,201,New Brunswick,27,7500
114,201,New Brunswick,28,7760
116,201,New Brunswick,29,8004
116,201,New Brunswick,30,8229
117,252,New Brunswick,31,8674
117,252,New Brunswick,32,8945
117,275,New Brunswick,33,9684
117,275,New Brunswick,34,9958
12292,11530,Quebec,27,123115
12846,11530,Quebec,28,126771
13557,11530,Quebec,29,131570
14248,11530,Quebec,30,137451
14860,11530,Quebec,31,143174
15857,11530,Quebec,32,148571
16798,11530,Quebec,33,153722
16798,11530,Quebec,34,158770
6648,6247,Ontario,27,97838
7049,6247,Ontario,28,104784
7470,6247,Ontario,29,109764
7953,6247,Ontario,30,115189
8447,6247,Ontario,31,120182
8961,6247,Ontario,32,125309
9525,6247,Ontario,33,132133
10010,6247,Ontario,34,132133
243,298,Manitoba,27,16220
242,298,Manitoba,28,17066
246,298,Manitoba,29,17119
246,298,Manitoba,30,17789
246,298,Manitoba,31,17789
250,298,Manitoba,32,18318
250,298,Manitoba,33,18814
250,298,Manitoba,34,18814
289,315,Saskatchewan,27,17716
298,315,Saskatchewan,28,18499
300,315,Saskatchewan,29,18995
301,326,Saskatchewan,30,19442
304,326,Saskatchewan,31,20013
305,326,Saskatchewan,32,20631
307,326,Saskatchewan,33,21212
307,326,Saskatchewan,34,21997
1569,1490,Alberta,27,72779
1651,5791,Alberta,28,74709
1732,5791,Alberta,29,77007
1870,5791,Alberta,30,79695
1996,5791,Alberta,31,79695
2158,5791,Alberta,32,85502
2397,5791,Alberta,33,89144
2397,5791,Alberta,34,89144
8,4,Yukon,27,815
8,4,Yukon,28,815
8,4,Yukon,29,832
8,4,Yukon,30,835
8,4,Yukon,31,841
8,4,Yukon,32,849
9,4,Yukon,33,852
9,4,Yukon,34,852
0,3,Nunavut,27,261
0,3,Nunavut,28,264
0,3,Nunavut,29,264
0,3,Nunavut,30,264
0,3,Nunavut,31,264
0,3,Nunavut,32,275
0,3,Nunavut,33,286
0,3,Nunavut,34,286
