geo_code,date,numconfirmed,numtested,median_age,population,median_age_Scaled,population_Scaled
12,0,0,481,44.9,965382.0,0.815,0.064
12,1,3,1075,44.9,965382.0,0.815,0.064
12,2,5,1075,44.9,965382.0,0.815,0.064
12,3,7,1278,44.9,965382.0,0.815,0.064
12,4,14,1520,44.9,965382.0,0.815,0.064
12,5,15,1647,44.9,965382.0,0.815,0.064
12,6,21,1956,44.9,965382.0,0.815,0.064
12,7,28,2210,44.9,965382.0,0.815,0.064
12,8,41,2408,44.9,965382.0,0.815,0.064
12,9,51,2641,44.9,965382.0,0.815,0.064
12,10,68,3008,44.9,965382.0,0.815,0.064
12,11,73,3417,44.9,965382.0,0.815,0.064
12,12,90,3946,44.9,965382.0,0.815,0.064
12,13,110,4487,44.9,965382.0,0.815,0.064
12,14,122,4984,44.9,965382.0,0.815,0.064
12,15,127,5492,44.9,965382.0,0.815,0.064
12,16,147,6614,44.9,965382.0,0.815,0.064
12,17,173,7405,44.9,965382.0,0.815,0.064
12,18,193,8059,44.9,965382.0,0.815,0.064
12,19,207,8799,44.9,965382.0,0.815,0.064
12,20,236,9722,44.9,965382.0,0.815,0.064
12,21,262,10084,44.9,965382.0,0.815,0.064
12,22,293,10738,44.9,965382.0,0.815,0.064
12,23,310,11559,44.9,965382.0,0.815,0.064
12,24,342,12072,44.9,965382.0,0.815,0.064
12,25,373,13045,44.9,965382.0,0.815,0.064
12,26,407,13881,44.9,965382.0,0.815,0.064
12,27,428,14511,44.9,965382.0,0.815,0.064
12,28,445,15329,44.9,965382.0,0.815,0.064
12,29,474,16548,44.9,965382.0,0.815,0.064
12,30,517,17477,44.9,965382.0,0.815,0.064
12,31,549,18245,44.9,965382.0,0.815,0.064
12,32,579,19239,44.9,965382.0,0.815,0.064
12,33,606,20432,44.9,965382.0,0.815,0.064
12,34,606,21363,44.9,965382.0,0.815,0.064
13,0,2,82,46.0,772094.0,0.908,0.051
13,1,6,143,46.0,772094.0,0.908,0.051
13,2,7,295,46.0,772094.0,0.908,0.051
13,3,8,408,46.0,772094.0,0.908,0.051
13,4,11,527,46.0,772094.0,0.908,0.051
13,5,11,640,46.0,772094.0,0.908,0.051
13,6,17,865,46.0,772094.0,0.908,0.051
13,7,17,924,46.0,772094.0,0.908,0.051
13,8,17,1139,46.0,772094.0,0.908,0.051
13,9,18,1261,46.0,772094.0,0.908,0.051
13,10,26,1680,46.0,772094.0,0.908,0.051
13,11,33,1849,46.0,772094.0,0.908,0.051
13,12,45,2179,46.0,772094.0,0.908,0.051
13,13,51,2512,46.0,772094.0,0.908,0.051
13,14,66,2847,46.0,772094.0,0.908,0.051
13,15,68,3267,46.0,772094.0,0.908,0.051
13,16,70,3630,46.0,772094.0,0.908,0.051
13,17,81,4121,46.0,772094.0,0.908,0.051
13,18,91,4625,46.0,772094.0,0.908,0.051
13,19,95,5036,46.0,772094.0,0.908,0.051
13,20,98,5297,46.0,772094.0,0.908,0.051
13,21,101,5421,46.0,772094.0,0.908,0.051
13,22,103,5678,46.0,772094.0,0.908,0.051
13,23,105,6102,46.0,772094.0,0.908,0.051
13,24,108,6477,46.0,772094.0,0.908,0.051
13,25,111,6949,46.0,772094.0,0.908,0.051
13,26,112,7299,46.0,772094.0,0.908,0.051
13,27,112,7500,46.0,772094.0,0.908,0.051
13,28,114,7760,46.0,772094.0,0.908,0.051
13,29,116,8004,46.0,772094.0,0.908,0.051
13,30,116,8229,46.0,772094.0,0.908,0.051
13,31,117,8674,46.0,772094.0,0.908,0.051
13,32,117,8945,46.0,772094.0,0.908,0.051
13,33,117,9684,46.0,772094.0,0.908,0.051
13,34,117,9958,46.0,772094.0,0.908,0.051
24,0,24,2337,42.6,8433301.0,0.622,0.583
24,1,39,3129,42.6,8433301.0,0.622,0.583
24,2,50,4870,42.6,8433301.0,0.622,0.583
24,3,74,5880,42.6,8433301.0,0.622,0.583
24,4,121,6757,42.6,8433301.0,0.622,0.583
24,5,139,8539,42.6,8433301.0,0.622,0.583
24,6,221,8539,42.6,8433301.0,0.622,0.583
24,7,221,8539,42.6,8433301.0,0.622,0.583
24,8,628,8539,42.6,8433301.0,0.622,0.583
24,9,1013,15071,42.6,8433301.0,0.622,0.583
24,10,1339,27828,42.6,8433301.0,0.622,0.583
24,11,1629,33311,42.6,8433301.0,0.622,0.583
24,12,2021,34356,42.6,8433301.0,0.622,0.583
24,13,2498,46087,42.6,8433301.0,0.622,0.583
24,14,2840,52204,42.6,8433301.0,0.622,0.583
24,15,3430,59715,42.6,8433301.0,0.622,0.583
24,16,4162,67540,42.6,8433301.0,0.622,0.583
24,17,4611,69711,42.6,8433301.0,0.622,0.583
24,18,5518,74542,42.6,8433301.0,0.622,0.583
24,19,6101,83570,42.6,8433301.0,0.622,0.583
24,20,6997,90227,42.6,8433301.0,0.622,0.583
24,21,7944,95955,42.6,8433301.0,0.622,0.583
24,22,8580,100113,42.6,8433301.0,0.622,0.583
24,23,9340,104526,42.6,8433301.0,0.622,0.583
24,24,10031,109270,42.6,8433301.0,0.622,0.583
24,25,10912,113365,42.6,8433301.0,0.622,0.583
24,26,11677,118217,42.6,8433301.0,0.622,0.583
24,27,12292,123115,42.6,8433301.0,0.622,0.583
24,28,12846,126771,42.6,8433301.0,0.622,0.583
24,29,13557,131570,42.6,8433301.0,0.622,0.583
