geo_code,date,numconfirmed,numtested,median_age,population,median_age_Scaled,population_Scaled
10,0,1,62,47.1,523790.0,1.0,0.034
10,1,1,161,47.1,523790.0,1.0,0.034
10,2,1,161,47.1,523790.0,1.0,0.034
10,3,3,161,47.1,523790.0,1.0,0.034
10,4,3,267,47.1,523790.0,1.0,0.034
10,5,4,287,47.1,523790.0,1.0,0.034
10,6,6,299,47.1,523790.0,1.0,0.034
10,7,9,299,47.1,523790.0,1.0,0.034
10,8,24,894,47.1,523790.0,1.0,0.034
10,9,35,1087,47.1,523790.0,1.0,0.034
10,10,67,1235,47.1,523790.0,1.0,0.034
10,11,82,1447,47.1,523790.0,1.0,0.034
10,12,102,1684,47.1,523790.0,1.0,0.034
10,13,120,1907,47.1,523790.0,1.0,0.034
10,14,135,2107,47.1,523790.0,1.0,0.034
10,15,148,2332,47.1,523790.0,1.0,0.034
10,16,152,2500,47.1,523790.0,1.0,0.034
10,17,175,2762,47.1,523790.0,1.0,0.034
10,18,183,2904,47.1,523790.0,1.0,0.034
10,19,183,3136,47.1,523790.0,1.0,0.034
10,20,195,3345,47.1,523790.0,1.0,0.034
10,21,217,3556,47.1,523790.0,1.0,0.034
10,22,226,3776,47.1,523790.0,1.0,0.034
10,23,228,3958,47.1,523790.0,1.0,0.034
10,24,232,4135,47.1,523790.0,1.0,0.034
10,25,236,4384,47.1,523790.0,1.0,0.034
10,26,239,4520,47.1,523790.0,1.0,0.034
10,27,241,4713,47.1,523790.0,1.0,0.034
10,28,242,4812,47.1,523790.0,1.0,0.034
10,29,244,4897,47.1,523790.0,1.0,0.034
10,30,244,5370,47.1,523790.0,1.0,0.034
10,31,247,5157,47.1,523790.0,1.0,0.034
10,32,252,5305,47.1,523790.0,1.0,0.034
10,33,256,5584,47.1,523790.0,1.0,0.034
10,34,257,5870,47.1,523790.0,1.0,0.034
10,35,257,6128,47.1,523790.0,1.0,0.034
10,36,257,6233,47.1,523790.0,1.0,0.034
11,0,1,6,43.2,154748.0,0.672,0.008
11,1,1,6,43.2,154748.0,0.672,0.008
11,2,1,75,43.2,154748.0,0.672,0.008
11,3,1,75,43.2,154748.0,0.672,0.008
11,4,2,75,43.2,154748.0,0.672,0.008
11,5,2,75,43.2,154748.0,0.672,0.008
11,6,2,75,43.2,154748.0,0.672,0.008
11,7,3,75,43.2,154748.0,0.672,0.008
11,8,3,206,43.2,154748.0,0.672,0.008
11,9,3,206,43.2,154748.0,0.672,0.008
11,10,5,301,43.2,154748.0,0.672,0.008
11,11,9,353,43.2,154748.0,0.672,0.008
11,12,11,422,43.2,154748.0,0.672,0.008
11,13,11,422,43.2,154748.0,0.672,0.008
11,14,11,477,43.2,154748.0,0.672,0.008
