geo_code,date,numconfirmed,numtested
12,0,0,481
12,1,3,1075
12,2,5,1075
12,3,7,1278
12,4,14,1520
12,5,15,1647
12,6,21,1956
12,7,28,2210
12,8,41,2408
12,9,51,2641
12,10,68,3008
12,11,73,3417
12,12,90,3946
12,13,110,4487
12,14,122,4984
12,15,127,5492
12,16,147,6614
12,17,173,7405
12,18,193,8059
12,19,207,8799
12,20,236,9722
12,21,262,10084
12,22,293,10738
12,23,310,11559
12,24,342,12072
12,25,373,13045
12,26,407,13881
12,27,428,14511
12,28,445,15329
12,29,474,16548
12,30,517,17477
12,31,549,18245
12,32,579,19239
12,33,606,20432
12,34,606,21363
13,0,2,82
13,1,6,143
13,2,7,295
13,3,8,408
13,4,11,527
13,5,11,640
13,6,17,865
13,7,17,924
13,8,17,1139
13,9,18,1261
13,10,26,1680
13,11,33,1849
13,12,45,2179
13,13,51,2512
13,14,66,2847
13,15,68,3267
13,16,70,3630
13,17,81,4121
13,18,91,4625
13,19,95,5036
13,20,98,5297
13,21,101,5421
13,22,103,5678
13,23,105,6102
13,24,108,6477
13,25,111,6949
13,26,112,7299
13,27,112,7500
13,28,114,7760
13,29,116,8004
13,30,116,8229
13,31,117,8674
13,32,117,8945
13,33,117,9684
13,34,117,9958
24,0,24,2337
24,1,39,3129
24,2,50,4870
24,3,74,5880
24,4,121,6757
24,5,139,8539
24,6,221,8539
24,7,221,8539
24,8,628,8539
24,9,1013,15071
24,10,1339,27828
24,11,1629,33311
24,12,2021,34356
24,13,2498,46087
24,14,2840,52204
24,15,3430,59715
24,16,4162,67540
24,17,4611,69711
24,18,5518,74542
24,19,6101,83570
24,20,6997,90227
24,21,7944,95955
24,22,8580,100113
24,23,9340,104526
24,24,10031,109270
24,25,10912,113365
24,26,11677,118217
24,27,12292,123115
24,28,12846,126771
24,29,13557,131570
24,30,14248,137451
24,31,14860,143174
24,32,15857,148571
24,33,16798,153722
24,34,16798,158770
35,0,103,8461
35,1,145,10178
35,2,177,11167
35,3,189,13869
35,4,258,18488
35,5,311,21499
35,6,377,25470
35,7,425,28570
35,8,503,30688
35,9,588,34727
35,10,688,38040
35,11,858,41217
35,12,993,43651
35,13,993,45836
35,14,1355,52002
35,15,1706,54112
35,16,1966,55909
35,17,2392,61009
35,18,2793,64785
35,19,3255,67998
35,20,3630,72674
35,21,4038,76027
35,22,4347,79125
35,23,4726,82055
35,24,5276,85703
35,25,5759,89906
35,26,6237,94271
35,27,6648,97838
35,28,7049,104784
35,29,7470,109764
35,30,7953,115189
35,31,8447,120182
35,32,8961,125309
35,33,9525,132133
35,34,10010,132133
46,0,4,837
46,1,7,1848
46,2,7,2216
46,3,15,2739
46,4,17,3189
46,5,17,3367
46,6,19,3668
46,7,19,3936
46,8,20,4133
46,9,21,4406
46,10,35,4740
46,11,36,5429
46,12,39,6022
46,13,64,6931
46,14,72,7876
46,15,96,8326
46,16,103,8629
46,17,127,9811
46,18,167,11098
46,19,182,11650
46,20,194,12191
46,21,203,12771
46,22,204,13788
46,23,217,13990
46,24,221,14569
46,25,224,14569
46,26,230,16075
46,27,243,16220
46,28,242,17066
46,29,246,17119
46,30,246,17789
46,31,246,17789
46,32,250,18318
46,33,250,18814
46,34,250,18814
47,0,2,349
47,1,6,881
47,2,7,1066
47,3,8,1910
47,4,20,1910
47,5,26,1910
47,6,44,3807
47,7,52,4407
47,8,66,5130
