numconfirmed,prediction,province,days,numtested
428,754,Nova Scotia,27,14511
445,804,Nova Scotia,28,15329
474,879,Nova Scotia,29,16548
517,936,Nova Scotia,30,17477
549,983,Nova Scotia,31,18245
579,1045,Nova Scotia,32,19239
606,1118,Nova Scotia,33,20432
606,1175,Nova Scotia,34,21363
112,319,New Brunswick,27,7500
114,336,New Brunswick,28,7760
116,351,New Brunswick,29,8004
116,366,New Brunswick,30,8229
117,393,New Brunswick,31,8674
117,411,New Brunswick,32,8945
117,456,New Brunswick,33,9684
117,473,New Brunswick,34,9958
12292,7263,Quebec,27,123115
12846,7486,Quebec,28,126771
13557,7779,Quebec,29,131570
14248,8137,Quebec,30,137451
14860,8486,Quebec,31,143174
15857,8815,Quebec,32,148571
16798,9128,Quebec,33,153722
16798,9436,Quebec,34,158770
6648,5639,Ontario,27,97838
7049,6062,Ontario,28,104784
7470,6365,Ontario,29,109764
7953,6696,Ontario,30,115189
8447,7000,Ontario,31,120182
8961,7312,Ontario,32,125309
9525,7728,Ontario,33,132133
10010,7729,Ontario,34,132133
243,588,Manitoba,27,16220
242,640,Manitoba,28,17066
246,643,Manitoba,29,17119
246,685,Manitoba,30,17789
246,685,Manitoba,31,17789
250,718,Manitoba,32,18318
250,749,Manitoba,33,18814
250,750,Manitoba,34,18814
289,671,Saskatchewan,27,17716
298,719,Saskatchewan,28,18499
300,750,Saskatchewan,29,18995
301,777,Saskatchewan,30,19442
304,813,Saskatchewan,31,20013
305,851,Saskatchewan,32,20631
307,887,Saskatchewan,33,21212
307,935,Saskatchewan,34,21997
1569,4011,Alberta,27,72779
1651,4129,Alberta,28,74709
1732,4270,Alberta,29,77007
1870,4434,Alberta,30,79695
1996,4434,Alberta,31,79695
2158,4788,Alberta,32,85502
2397,5010,Alberta,33,89144
2397,5011,Alberta,34,89144
8,-460,Yukon,27,815
8,-459,Yukon,28,815
8,-457,Yukon,29,832
8,-457,Yukon,30,835
8,-456,Yukon,31,841
8,-454,Yukon,32,849
9,-454,Yukon,33,852
9,-453,Yukon,34,852
0,-509,Nunavut,27,261
0,-508,Nunavut,28,264
0,-508,Nunavut,29,264
0,-507,Nunavut,30,264
0,-507,Nunavut,31,264
0,-505,Nunavut,32,275
0,-504,Nunavut,33,286
0,-503,Nunavut,34,286
